Ticker,Name,FIGI,ISIN
CFG,CITIZENS FINANCIAL GROUP,BBG006Q0HY77,BBG006Q0HY77
CLX,CLOROX COMPANY,BBG000BFS7D3,BBG000BFS7D3
CME,CME GROUP INC,BBG000BHLYP4,BBG000BHLYP4
CMS,CMS ENERGY CORP,BBG000BFVXX0,BBG000BFVXX0
KO,COCA-COLA CO/THE,BBG000BMX289,BBG000BMX289
CTSH,COGNIZANT TECH SOLUTIONS-A,BBG000BBDV81,BBG000BBDV81
COHR,COHERENT CORP,BBG000BLW102,BBG000BLW102
COIN,COINBASE GLOBAL INC -CLASS A,BBG00ZGF7771,BBG00ZGF7771
CL,COLGATE-PALMOLIVE CO,BBG000BFQYY3,BBG000BFQYY3
CMCSA,COMCAST CORP-CLASS A,BBG000BFT2L4,BBG000BFT2L4
FIX,COMFORT SYSTEMS USA INC,BBG000BWN2Y9,BBG000BWN2Y9
CAG,CONAGRA BRANDS INC,BBG000BDXGP9,BBG000BDXGP9
COP,CONOCOPHILLIPS,BBG000BQQH30,BBG000BQQH30
ED,CONSOLIDATED EDISON INC,BBG000BHLYS1,BBG000BHLYS1
STZ,CONSTELLATION BRANDS INC-A,BBG000J1QLT0,BBG000J1QLT0
CEG,CONSTELLATION ENERGY,BBG014KFRNP7,BBG014KFRNP7
COO,COOPER COS INC/THE,BBG000BG3445,BBG000BG3445
CPRT,COPART INC,BBG000BM9RH1,BBG000BM9RH1
GLW,CORNING INC,BBG000BKFZM4,BBG000BKFZM4
CPAY,CORPAY INC,BBG000GPXKX9,BBG000GPXKX9
CTVA,CORTEVA INC,BBG00BN969C1,BBG00BN969C1
CSGP,COSTAR GROUP INC,BBG000D7JKW9,BBG000D7JKW9
COST,COSTCO WHOLESALE CORP,BBG000F6H8W8,BBG000F6H8W8
CRH,CRH PLC,BBG000D3JXM1,BBG000D3JXM1
CRWD,CROWDSTRIKE HOLDINGS INC - A,BBG00BLYKS03,BBG00BLYKS03
CCI,CROWN CASTLE INC,BBG000FV1Z23,BBG000FV1Z23
CSX,CSX CORP,BBG000BGJRC8,BBG000BGJRC8
CMI,CUMMINS INC,BBG000BGPTV6,BBG000BGPTV6
CVS,CVS HEALTH CORP,BBG000BGRY34,BBG000BGRY34
DHR,DANAHER CORP,BBG000BH3JF8,BBG000BH3JF8
DRI,DARDEN RESTAURANTS INC,BBG000BBNYF6,BBG000BBNYF6
DDOG,DATADOG INC - CLASS A,BBG003NJHZT9,BBG003NJHZT9
DVA,DAVITA INC,BBG000MQ1SN9,BBG000MQ1SN9
DECK,DECKERS OUTDOOR CORP,BBG000BKXYX5,BBG000BKXYX5
DE,DEERE & CO,BBG000BH1NH9,BBG000BH1NH9
DELL,DELL TECHNOLOGIES -C,BBG00DW3SZS1,BBG00DW3SZS1
DAL,DELTA AIR LINES INC,BBG000R7Z112,BBG000R7Z112
DVN,DEVON ENERGY CORP,BBG000BBVJZ8,BBG000BBVJZ8
DXCM,DEXCOM INC,BBG000QTF8K1,BBG000QTF8K1
FANG,DIAMONDBACK ENERGY INC,BBG002PHSYX9,BBG002PHSYX9
DLR,DIGITAL REALTY TRUST INC,BBG000Q5ZRM7,BBG000Q5ZRM7
DG,DOLLAR GENERAL CORP,BBG000NV1KK7,BBG000NV1KK7
DLTR,DOLLAR TREE INC,BBG000BSC0K9,BBG000BSC0K9
D,DOMINION ENERGY INC,BBG000BGVW60,BBG000BGVW60
DPZ,DOMINO'S PIZZA INC,BBG000P458P3,BBG000P458P3
DASH,DOORDASH INC - A,BBG005D7QCJ3,BBG005D7QCJ3
DOV,DOVER CORP,BBG000BHB3M6,BBG000BHB3M6
DOW,DOW INC,BBG00BN96922,BBG00BN96922
DHI,DR HORTON INC,BBG000DQTXY6,BBG000DQTXY6
DTE,DTE ENERGY COMPANY,BBG000BB29X4,BBG000BB29X4
DUK,DUKE ENERGY CORP,BBG000BHGDH5,BBG000BHGDH5
DD,DUPONT DE NEMOURS INC,BBG00BN961G4,BBG00BN961G4
ETN,EATON CORP PLC,BBG000BJ3PD2,BBG000BJ3PD2
EBAY,EBAY INC,BBG000C43RR5,BBG000C43RR5
SATS,,,
ECL,ECOLAB INC,BBG000BHKYH4,BBG000BHKYH4
EIX,EDISON INTERNATIONAL,BBG000D7RKJ5,BBG000D7RKJ5
EW,EDWARDS LIFESCIENCES CORP,BBG000BRXP69,BBG000BRXP69
EA,,,
ELV,ELEVANCE HEALTH INC,BBG000BCG930,BBG000BCG930
EME,EMCOR GROUP INC,BBG000BBRPL4,BBG000BBRPL4
EMR,EMERSON ELECTRIC CO,BBG000BHX7N2,BBG000BHX7N2
ETR,ENTERGY CORP,BBG000C1FQS9,BBG000C1FQS9
EOG,EOG RESOURCES INC,BBG000BZ9223,BBG000BZ9223
EPAM,EPAM SYSTEMS INC,BBG000MHTV89,BBG000MHTV89
EQT,EQT CORP,BBG000BHZ5J9,BBG000BHZ5J9
EFX,EQUIFAX INC,BBG000BHPL78,BBG000BHPL78
EQIX,EQUINIX INC,BBG000MBDGM6,BBG000MBDGM6
EQR,,,
ERIE,ERIE INDEMNITY COMPANY-CL A,BBG000BBTJZ1,BBG000BBTJZ1
ESS,ESSEX PROPERTY TRUST INC,BBG000CGJMB9,BBG000CGJMB9
EL,ESTEE LAUDER COMPANIES-CL A,BBG000FKJRC5,BBG000FKJRC5
EG,EVEREST GROUP LTD,BBG000C1XVK6,BBG000C1XVK6
EVRG,EVERGY INC,BBG00H433CR2,BBG00H433CR2
ES,EVERSOURCE ENERGY,BBG000BQ87N0,BBG000BQ87N0
EXC,EXELON CORP,BBG000J6XT05,BBG000J6XT05
EXE,EXPAND ENERGY CORP,BBG00Z6DX554,BBG00Z6DX554
EXPE,EXPEDIA GROUP INC,BBG000QY3XZ2,BBG000QY3XZ2
EXPD,EXPEDITORS INTL WASH INC,BBG000BJ5GK2,BBG000BJ5GK2
EXR,EXTRA SPACE STORAGE INC,BBG000PV27K3,BBG000PV27K3
XOM,EXXONMOBIL HOLDINGS CORP,BBG023CY9MM1,BBG023CY9MM1
FFIV,F5 INC,BBG000CXYSZ6,BBG000CXYSZ6
FDS,FACTSET RESEARCH SYSTEMS INC,BBG000BDJL83,BBG000BDJL83
FICO,FAIR ISAAC CORP,BBG000DW76Y6,BBG000DW76Y6
FAST,FASTENAL CO,BBG000BJ8YN7,BBG000BJ8YN7
FRT,FEDERAL REALTY INVS TRUST,BBG000BJVN28,BBG000BJVN28
FDX,FEDEX CORP,BBG000BJF1Z8,BBG000BJF1Z8
FIS,FIDELITY NATIONAL INFO SERV,BBG000BK2F42,BBG000BK2F42
FITB,FIFTH THIRD BANCORP,BBG000BJL3N0,BBG000BJL3N0
FSLR,FIRST SOLAR INC,BBG000BFL116,BBG000BFL116
FE,FIRSTENERGY CORP,BBG000BB6M98,BBG000BB6M98
FISV,FISERV INC,BBG000BJKPG0,BBG000BJKPG0
F,FORD MOTOR CO,BBG000BQPC32,BBG000BQPC32
FTNT,FORTINET INC,BBG000BCMBG4,BBG000BCMBG4
FTV,FORTIVE CORP,BBG00BLVZ228,BBG00BLVZ228
FOXA,FOX CORP - CLASS A,BBG00JHNJW99,BBG00JHNJW99
FOX,FOX CORP - CLASS B,BBG00JHNKJY8,BBG00JHNKJY8
BEN,FRANKLIN TEMPLETON INC,BBG000BD0TF8,BBG000BD0TF8
FCX,FREEPORT-MCMORAN INC,BBG000BJDB15,BBG000BJDB15
GRMN,GARMIN LTD,BBG000C4LN67,BBG000C4LN67
IT,GARTNER INC,BBG000BB65D0,BBG000BB65D0
GE,GENERAL ELECTRIC,BBG000BK6MB5,BBG000BK6MB5
GEHC,GE HEALTHCARE TECHNOLOGY,BBG01BFR8YV1,BBG01BFR8YV1
GEV,GE VERNOVA INC,BBG013G17W31,BBG013G17W31
GEN,GEN DIGITAL INC,BBG000BH2JM1,BBG000BH2JM1
GNRC,GENERAC HOLDINGS INC,BBG000PQ4W72,BBG000PQ4W72
GD,GENERAL DYNAMICS CORP,BBG000BK67C7,BBG000BK67C7
GIS,GENERAL MILLS INC,BBG000BKCFC2,BBG000BKCFC2
GM,GENERAL MOTORS CO,BBG000NDYB67,BBG000NDYB67
GPC,GENUINE PARTS CO,BBG000BKL348,BBG000BKL348
GILD,GILEAD SCIENCES INC,BBG000CKGBP2,BBG000CKGBP2
GPN,GLOBAL PAYMENTS INC,BBG000CX0P89,BBG000CX0P89
GL,GLOBE LIFE INC,BBG000BVD6X4,BBG000BVD6X4
GDDY,GODADDY INC - CLASS A,BBG006MDLY05,BBG006MDLY05
GS,GOLDMAN SACHS GROUP INC,BBG000C6CFJ5,BBG000C6CFJ5
HAL,HALLIBURTON CO,BBG000BKTFN2,BBG000BKTFN2
HIG,HARTFORD INSURANCE GROUP INC,BBG000G0Z878,BBG000G0Z878
HAS,HASBRO INC,BBG000BKVJK4,BBG000BKVJK4
HCA,HCA HEALTHCARE INC,BBG000QW7VC1,BBG000QW7VC1
DOC,HEALTHPEAK PROPERTIES INC,BBG000BKYDP9,BBG000BKYDP9
HSIC,HENRY SCHEIN INC,BBG000BNMMJ3,BBG000BNMMJ3
HSY,HERSHEY CO/THE,BBG000BLHRS2,BBG000BLHRS2
HPE,HEWLETT PACKARD ENTERPRISE,BBG0078W3NQ3,BBG0078W3NQ3
HLT,HILTON WORLDWIDE HOLDINGS IN,BBG0058KMH30,BBG0058KMH30
HD,HOME DEPOT INC,BBG000BKZB36,BBG000BKZB36
HON,HONEYWELL INTERNATIONAL INC,BBG000H556T9,BBG000H556T9
HRL,HORMEL FOODS CORP,BBG000BLF8D2,BBG000BLF8D2
HST,HOST HOTELS & RESORTS INC,BBG000BL8804,BBG000BL8804
HWM,HOWMET AEROSPACE INC,BBG00DYNJGH9,BBG00DYNJGH9
HPQ,HP INC,BBG000KHWT55,BBG000KHWT55
HUBB,HUBBELL INC,BBG000BLK267,BBG000BLK267
HUM,HUMANA INC,BBG000BLKK03,BBG000BLKK03
HBAN,HUNTINGTON BANCSHARES INC,BBG000BKWSR6,BBG000BKWSR6
HII,HUNTINGTON INGALLS INDUSTRIE,BBG001KJ2HM9,BBG001KJ2HM9
IBM,INTL BUSINESS MACHINES CORP,BBG000BLNNH6,BBG000BLNNH6
IEX,IDEX CORP,BBG000C1HN22,BBG000C1HN22
IDXX,IDEXX LABORATORIES INC,BBG000BLRT07,BBG000BLRT07
ITW,ILLINOIS TOOL WORKS,BBG000BMBL90,BBG000BMBL90
INCY,INCYTE CORP,BBG000BNPSQ9,BBG000BNPSQ9
IR,INGERSOLL-RAND INC,BBG002R1CW27,BBG002R1CW27
PODD,INSULET CORP,BBG000R7XX87,BBG000R7XX87
INTC,INTEL CORP,BBG000C0G1D1,BBG000C0G1D1
IBKR,INTERACTIVE BROKERS GRO-CL A,BBG000LV0836,BBG000LV0836
ICE,INTERCONTINENTAL EXCHANGE IN,BBG000C1FB75,BBG000C1FB75
IFF,INTL FLAVORS & FRAGRANCES,BBG000BLSL58,BBG000BLSL58
IP,INTERNATIONAL PAPER CO,BBG000BM5SR2,BBG000BM5SR2
INTU,INTUIT INC,BBG000BH5DV1,BBG000BH5DV1
ISRG,INTUITIVE SURGICAL INC,BBG000BJPDZ1,BBG000BJPDZ1
IVZ,INVESCO LTD,BBG000BY2Y78,BBG000BY2Y78
INVH,INVITATION HOMES INC,BBG00FQH6BS9,BBG00FQH6BS9
IQV,IQVIA HOLDINGS INC,BBG00333FYS2,BBG00333FYS2
IRM,IRON MOUNTAIN INC,BBG000KCZPC3,BBG000KCZPC3
JBHT,HUNT (JB) TRANSPRT SVCS INC,BBG000BMDBZ1,BBG000BMDBZ1
JBL,JABIL INC,BBG000BJNGN9,BBG000BJNGN9
JKHY,JACK HENRY & ASSOCIATES INC,BBG000BMH2Q7,BBG000BMH2Q7
J,JACOBS SOLUTIONS INC,BBG019C1BQR4,BBG019C1BQR4
JNJ,JOHNSON & JOHNSON,BBG000BMHYD1,BBG000BMHYD1
JCI,JOHNSON CONTROLS INTERNATION,BBG000BVWLJ6,BBG000BVWLJ6
JPM,JPMORGAN CHASE & CO,BBG000DMBXR2,BBG000DMBXR2
KVUE,KENVUE INC,BBG01C79X561,BBG01C79X561
KDP,KEURIG DR PEPPER INC,BBG000TJM7F0,BBG000TJM7F0
KEY,KEYCORP,BBG000BMQPL1,BBG000BMQPL1
KEYS,KEYSIGHT TECHNOLOGIES IN,BBG0059FN811,BBG0059FN811
KMB,KIMBERLY-CLARK CORP,BBG000BMW2Z0,BBG000BMW2Z0
KIM,KIMCO REALTY CORP,BBG000CN3S73,BBG000CN3S73
KMI,KINDER MORGAN INC,BBG0019JZ882,BBG0019JZ882
KKR,KKR & CO INC,BBG000BCQ6J8,BBG000BCQ6J8
KLAC,KLA CORP,BBG000BMTFR4,BBG000BMTFR4
KHC,KRAFT HEINZ CO/THE,BBG005CPNTQ2,BBG005CPNTQ2
KR,KROGER CO,BBG000BMY992,BBG000BMY992
LHX,L3HARRIS TECHNOLOGIES INC,BBG000BLGFJ9,BBG000BLGFJ9
LH,LABCORP HOLDINGS INC,BBG01MMT6PL7,BBG01MMT6PL7
LRCX,LAM RESEARCH CORP,BBG000BNFLM9,BBG000BNFLM9
LVS,LAS VEGAS SANDS CORP,BBG000JWD753,BBG000JWD753
LDOS,LEIDOS HOLDINGS INC,BBG000C23PB0,BBG000C23PB0
LEN,LENNAR CORP-A,BBG000BN5HF7,BBG000BN5HF7
LII,LENNOX INTERNATIONAL INC,BBG000BB5B84,BBG000BB5B84
LLY,ELI LILLY & CO,BBG000BNBDC2,BBG000BNBDC2
LIN,LINDE PLC,BBG01FND0CC1,BBG01FND0CC1
LYV,LIVE NATION ENTERTAINMENT IN,BBG000FQ7YR4,BBG000FQ7YR4
LMT,LOCKHEED MARTIN CORP,BBG000C1BW00,BBG000C1BW00
L,LOEWS CORP,BBG000C45984,BBG000C45984
LOW,LOWE'S COS INC,BBG000BNDN65,BBG000BNDN65
LULU,LULULEMON ATHLETICA INC,BBG000R8ZVD1,BBG000R8ZVD1
LITE,LUMENTUM HOLDINGS INC,BBG0073F9RT7,BBG0073F9RT7
LYB,LYONDELLBASELL INDU-CL A,BBG000WCFV84,BBG000WCFV84
MTB,M & T BANK CORP,BBG000D9KWL9,BBG000D9KWL9
MPC,MARATHON PETROLEUM CORP,BBG001DCCGR8,BBG001DCCGR8
MAR,MARRIOTT INTERNATIONAL -CL A,BBG000BGD7W6,BBG000BGD7W6
MRSH,MARSH & MCLENNAN COS,BBG000BP4MH0,BBG000BP4MH0
MLM,MARTIN MARIETTA MATERIALS,BBG000BGYMH7,BBG000BGYMH7
MAS,MASCO CORP,BBG000BNNKG9,BBG000BNNKG9
MA,MASTERCARD INC - A,BBG000F1ZSQ2,BBG000F1ZSQ2
MKC,MCCORMICK & CO-NON VTG SHRS,BBG000G6Y5W4,BBG000G6Y5W4
MCD,MCDONALD'S CORP,BBG000BNSZP1,BBG000BNSZP1
MCK,MCKESSON CORP,BBG000DYGNW7,BBG000DYGNW7
MDT,MEDTRONIC PLC,BBG000BNWG87,BBG000BNWG87
MRK,MERCK & CO. INC.,BBG000BPD168,BBG000BPD168
META,META PLATFORMS INC-CLASS A,BBG000MM2P62,BBG000MM2P62
MET,METLIFE INC,BBG000BB6KF5,BBG000BB6KF5
MTD,METTLER-TOLEDO INTERNATIONAL,BBG000BZCKH3,BBG000BZCKH3
MGM,MGM RESORTS INTERNATIONAL,BBG000C2BXK4,BBG000C2BXK4
MCHP,MICROCHIP TECHNOLOGY INC,BBG000BHCP19,BBG000BHCP19
MU,MICRON TECHNOLOGY INC,BBG000C5Z1S3,BBG000C5Z1S3
MSFT,MICROSOFT CORP,BBG000BPH459,BBG000BPH459
MAA,MID-AMERICA APARTMENT COMM,BBG000BLMY92,BBG000BLMY92
MRNA,MODERNA INC,BBG003PHHZT1,BBG003PHHZT1
TAP,MOLSON COORS BEVERAGE CO - B,BBG000BS7KS3,BBG000BS7KS3
MDLZ,MONDELEZ INTERNATIONAL INC-A,BBG000D4LWF6,BBG000D4LWF6
MPWR,MONOLITHIC POWER SYSTEMS INC,BBG000C30L48,BBG000C30L48
MNST,MONSTER BEVERAGE CORP,BBG008NVB1C0,BBG008NVB1C0
MCO,MOODY'S CORP,BBG000F86GP6,BBG000F86GP6
MS,MORGAN STANLEY,BBG000BLZRJ2,BBG000BLZRJ2
MOS,MOSAIC CO/THE,BBG000BFXHL6,BBG000BFXHL6
MSI,MOTOROLA SOLUTIONS INC,BBG000BP8Z50,BBG000BP8Z50
MSCI,MSCI INC,BBG000RTDY25,BBG000RTDY25
NDAQ,NASDAQ INC,BBG000F5VVB6,BBG000F5VVB6
NTAP,NETAPP INC,BBG000FP1N32,BBG000FP1N32
NFLX,NETFLIX INC,BBG000CL9VN6,BBG000CL9VN6
NEM,NEWMONT CORP,BBG000BPWXK1,BBG000BPWXK1
NWSA,NEWS CORP - CLASS A,BBG0035LY913,BBG0035LY913
NWS,NEWS CORP - CLASS B,BBG0035M2ZB7,BBG0035M2ZB7
NEE,NEXTERA ENERGY INC,BBG000BJSBJ0,BBG000BJSBJ0
NKE,NIKE INC -CL B,BBG000C5HS04,BBG000C5HS04
NI,NISOURCE INC,BBG000BPZBB6,BBG000BPZBB6
NDSN,NORDSON CORP,BBG000BPWGR1,BBG000BPWGR1
NSC,NORFOLK SOUTHERN CORP,BBG000BQ5DS5,BBG000BQ5DS5
NTRS,NORTHERN TRUST CORP,BBG000BQ74K1,BBG000BQ74K1
NOC,NORTHROP GRUMMAN CORP,BBG000BQ2C28,BBG000BQ2C28
NCLH,NORWEGIAN CRUISE LINE HOLDIN,BBG000BSRN78,BBG000BSRN78
NRG,NRG ENERGY INC,BBG000D8RG11,BBG000D8RG11
NUE,NUCOR CORP,BBG000BQ8KV2,BBG000BQ8KV2
NVDA,NVIDIA CORP,BBG000BBJQV0,BBG000BBJQV0
NVR,NVR INC,BBG000BQBYR3,BBG000BQBYR3
NXPI,NXP SEMICONDUCTORS NV,BBG000BND699,BBG000BND699
ORLY,O'REILLY AUTOMOTIVE INC,BBG000BGYWY6,BBG000BGYWY6
OXY,OCCIDENTAL PETROLEUM CORP,BBG000BQQ2S6,BBG000BQQ2S6
ODFL,OLD DOMINION FREIGHT LINE,BBG000CHSS88,BBG000CHSS88
OMC,OMNICOM GROUP,BBG000BS9489,BBG000BS9489
ON,ON SEMICONDUCTOR,BBG000DV7MX4,BBG000DV7MX4
OKE,ONEOK INC,BBG000BQHGR6,BBG000BQHGR6
ORCL,ORACLE CORP,BBG000BQLTW7,BBG000BQLTW7
OTIS,OTIS WORLDWIDE CORP,BBG00RP60KV0,BBG00RP60KV0
PCAR,PACCAR INC,BBG000BQVTF5,BBG000BQVTF5
PKG,PACKAGING CORP OF AMERICA,BBG000BB8SW7,BBG000BB8SW7
PLTR,PALANTIR TECHNOLOGIES INC-A,BBG000N7QR55,BBG000N7QR55
PANW,PALO ALTO NETWORKS INC,BBG0014GJCT9,BBG0014GJCT9
PSKY,PARAMOUNT SKYDANCE CL B,BBG01VS5NK99,BBG01VS5NK99
PH,PARKER HANNIFIN CORP,BBG000BR3KL6,BBG000BR3KL6
PAYX,PAYCHEX INC,BBG000BQSQ38,BBG000BQSQ38
