underlying_ticker,trading_date,maturity_date,strike,option_type,option_contract,option_price,spot_price
SPX,2026-01-08,2026-01-16,5300,CALL,SPX260116C05300000,1620.93,6921.46
SPX,2026-01-09,2026-01-16,5325,PUT,SPX260116P05325000,0.05,6966.28
SPX,2026-01-09,2026-01-16,5350,PUT,SPX260116P05350000,0.05,6966.28
SPX,2026-01-09,2026-01-16,5390,PUT,SPX260116P05390000,0.15,6966.28
SPX,2026-01-08,2026-01-16,5400,CALL,SPX260116C05400000,1522.37,6921.46
SPX,2026-01-09,2026-01-16,5400,PUT,SPX260116P05400000,0.05,6966.28
SPX,2025-12-24,2026-01-16,5410,CALL,SPX260116C05410000,1535.16,6932.05
SPX,2025-11-21,2026-01-16,5420,CALL,SPX260116C05420000,1180.47,6602.99
SPX,2026-01-09,2026-01-16,5420,PUT,SPX260116P05420000,0.15,6966.28
SPX,2026-01-09,2026-01-16,5425,PUT,SPX260116P05425000,0.15,6966.28
SPX,2025-12-15,2026-01-16,5440,CALL,SPX260116C05440000,1405.74,6816.51
SPX,2026-01-09,2026-01-16,5440,PUT,SPX260116P05440000,0.15,6966.28
SPX,2026-01-09,2026-01-16,5450,PUT,SPX260116P05450000,0.15,6966.28
SPX,2025-12-15,2026-01-16,5460,CALL,SPX260116C05460000,1400.42,6816.51
SPX,2026-01-09,2026-01-16,5460,PUT,SPX260116P05460000,0.15,6966.28
SPX,2026-01-09,2026-01-16,5470,PUT,SPX260116P05470000,0.15,6966.28
SPX,2026-01-09,2026-01-16,5475,PUT,SPX260116P05475000,0.15,6966.28
SPX,2025-12-22,2026-01-16,5480,CALL,SPX260116C05480000,1412.66,6878.49
SPX,2026-01-09,2026-01-16,5480,PUT,SPX260116P05480000,0.15,6966.28
SPX,2026-01-09,2026-01-16,5490,PUT,SPX260116P05490000,0.15,6966.28
SPX,2026-01-02,2026-01-16,5510,CALL,SPX260116C05510000,1367.49,6858.47
SPX,2025-12-19,2026-01-16,5525,CALL,SPX260116C05525000,1325.04,6834.5
SPX,2026-01-08,2026-01-16,5550,CALL,SPX260116C05550000,1376.73,6921.46
SPX,2026-01-09,2026-01-16,5550,PUT,SPX260116P05550000,0.1,6966.28
SPX,2026-01-09,2026-01-16,5560,PUT,SPX260116P05560000,0.13,6966.28
SPX,2025-12-29,2026-01-16,5570,CALL,SPX260116C05570000,1346.22,6905.74
SPX,2025-12-29,2026-01-16,5575,CALL,SPX260116C05575000,1341.22,6905.74
SPX,2026-01-09,2026-01-16,5575,PUT,SPX260116P05575000,0.2,6966.28
SPX,2026-01-09,2026-01-16,5580,PUT,SPX260116P05580000,0.2,6966.28
SPX,2026-01-09,2026-01-16,5600,CALL,SPX260116C05600000,1370.77,6966.28
SPX,2026-01-09,2026-01-16,5600,PUT,SPX260116P05600000,0.2,6966.28
SPX,2025-12-19,2026-01-16,5610,CALL,SPX260116C05610000,1241.15,6834.5
SPX,2025-12-19,2026-01-16,5640,CALL,SPX260116C05640000,1212.87,6834.5
SPX,2026-01-09,2026-01-16,5640,PUT,SPX260116P05640000,0.2,6966.28
SPX,2026-01-09,2026-01-16,5650,PUT,SPX260116P05650000,0.2,6966.28
SPX,2025-08-20,2026-01-16,5660,CALL,SPX260116C05660000,891.16,6395.78
SPX,2026-01-09,2026-01-16,5670,PUT,SPX260116P05670000,0.2,6966.28
SPX,2026-01-02,2026-01-16,5675,CALL,SPX260116C05675000,1165.93,6858.47
SPX,2025-11-10,2026-01-16,5680,CALL,SPX260116C05680000,1191.89,6832.43
SPX,2026-01-09,2026-01-16,5690,PUT,SPX260116P05690000,0.2,6966.28
SPX,2025-12-29,2026-01-16,5710,CALL,SPX260116C05710000,1201.4,6905.74
SPX,2026-01-07,2026-01-16,5725,CALL,SPX260116C05725000,1235.24,6920.93
SPX,2025-12-19,2026-01-16,5740,CALL,SPX260116C05740000,1108.07,6834.5
SPX,2026-01-09,2026-01-16,5740,PUT,SPX260116P05740000,0.2,6966.28
SPX,2025-12-29,2026-01-16,5750,CALL,SPX260116C05750000,1152,6905.74
SPX,2025-12-08,2026-01-16,5760,CALL,SPX260116C05760000,1113.23,6846.51
SPX,2026-01-09,2026-01-16,5760,PUT,SPX260116P05760000,0.25,6966.28
SPX,2025-12-31,2026-01-16,5770,CALL,SPX260116C05770000,1127.14,6845.5
SPX,2025-11-28,2026-01-16,5775,CALL,SPX260116C05775000,1103.88,6849.09
SPX,2025-08-29,2026-01-16,5780,CALL,SPX260116C05780000,829.01,6460.26
SPX,2026-01-09,2026-01-16,5780,PUT,SPX260116P05780000,0.25,6966.28
SPX,2025-11-18,2026-01-16,5790,CALL,SPX260116C05790000,938.67,6617.32
SPX,2026-01-09,2026-01-16,5790,PUT,SPX260116P05790000,0.25,6966.28
SPX,2026-01-05,2026-01-16,5800,CALL,SPX260116C05800000,1122.35,6902.05
SPX,2026-01-09,2026-01-16,5800,PUT,SPX260116P05800000,0.15,6966.28
SPX,2025-12-19,2026-01-16,5810,CALL,SPX260116C05810000,1042.84,6834.5
SPX,2025-11-26,2026-01-16,5825,CALL,SPX260116C05825000,1048.09,6812.61
SPX,2026-01-09,2026-01-16,5825,PUT,SPX260116P05825000,0.25,6966.28
SPX,2025-11-21,2026-01-16,5840,CALL,SPX260116C05840000,877.92,6602.99
SPX,2026-01-02,2026-01-16,5850,CALL,SPX260116C05850000,991.03,6858.47
SPX,2026-01-09,2026-01-16,5850,PUT,SPX260116P05850000,0.2,6966.28
SPX,2025-12-19,2026-01-16,5860,CALL,SPX260116C05860000,994.55,6834.5
SPX,2025-11-21,2026-01-16,5870,CALL,SPX260116C05870000,850.48,6602.99
SPX,2026-01-09,2026-01-16,5870,PUT,SPX260116P05870000,0.25,6966.28
SPX,2025-12-19,2026-01-16,5875,CALL,SPX260116C05875000,981.75,6834.5
SPX,2026-01-09,2026-01-16,5875,PUT,SPX260116P05875000,0.25,6966.28
SPX,2026-01-09,2026-01-16,5890,CALL,SPX260116C05890000,1085.7,6966.28
SPX,2026-01-09,2026-01-16,5890,PUT,SPX260116P05890000,0.3,6966.28
SPX,2026-01-09,2026-01-16,5900,PUT,SPX260116P05900000,0.2,6966.28
SPX,2026-01-09,2026-01-16,5910,PUT,SPX260116P05910000,0.3,6966.28
SPX,2025-11-21,2026-01-16,5920,CALL,SPX260116C05920000,805.76,6602.99
SPX,2026-01-09,2026-01-16,5920,PUT,SPX260116P05920000,0.3,6966.28
SPX,2025-12-29,2026-01-16,5925,CALL,SPX260116C05925000,988.08,6905.74
SPX,2025-12-19,2026-01-16,5930,CALL,SPX260116C05930000,927.54,6834.5
SPX,2026-01-09,2026-01-16,5940,PUT,SPX260116P05940000,0.3,6966.28
